district,geographyid,geography,districtname,state
758,999420,South Salmara-mankachar,South Salmara-mankachar,18
759,999422,West Karbi Anglong,West Karbi Anglong,18
760,999417,Majuli,Majuli,18
761,999330,Longding,Longding,12
762,999329,Namsai,Namsai,12
763,999328,Kra Daadi,Kra Daadi,12
764,999335,Siang,Siang,12
765,999140,Charkhi Dadri,Charkhi Dadri,6
766,999356,Jiribam,Jiribam,14
767,999357,Kangpokpi,Kangpokpi,14
768,999351,Kakching,Kakching,14
769,999359,Tengnoupal,Tengnoupal,14
770,999347,Kamjong,Kamjong,14
771,999361,Noney,Noney,14
772,999362,Pherzawl,Pherzawl,14
773,999117,Pathankot,Pathankot,3
774,999467,Alipurduar,Alipurduar,19
775,999469,Kalimpong,Kalimpong,19
776,999470,Jhargram,Jhargram,19
777,999468,Paschim Bardhaman,Paschim Bardhaman,19
0,999001,Jammu & Kashmir,,1
0,999002,Himachal Pradesh,,2
0,999003,Punjab,,3
0,999004,Chandigarh,,4
0,999005,Uttarakhand,,5
0,999006,Haryana,,6
0,999007,NCT of Delhi,,7
0,999008,Rajasthan,,8
0,999009,Uttar Pradesh,,9
0,999010,Bihar,,10
0,999011,Sikkim,,11
0,999012,Arunachal Pradesh,,12
0,999013,Nagaland,,13
0,999014,Manipur,,14
0,999015,Mizoram,,15
0,999016,Tripura,,16
0,999017,Meghalaya,,17
0,999018,Assam,,18
0,999019,West Bengal,,19
0,999020,Jharkhand,,20
0,999021,Odisha,,21
0,999022,Chhattisgarh,,22
0,999023,Madhya Pradesh,,23
0,999024,Gujarat,,24
0,999025,Daman & Diu,,25
0,999026,Dadra & Nagar Haveli,,26
0,999027,Maharashtra,,27
0,999028,Andhra Pradesh,,28
0,999029,Karnataka,,29
0,999030,Goa,,30
0,999031,Lakshadweep,,31
0,999032,Kerala,,32
0,999033,Tamil Nadu,,33
0,999034,Puducherry,,34
0,999035,Andaman & Nicobar Islands,,35
0,999036,Telangana,,36
0,999037,Ladakh,,37
0,999000,India,,0
