sector,indicator,subcategory,subcategory2,subcategory3,aspectid,unit,explanation
Formal employment,Total number of employees,Medium,Manufacturing,Recreational Activties,602257,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Starch,602260,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Water,602266,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Wood,602267,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Chemical,602418,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Delivery Services,602424,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Entertainment,602428,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Agriculture,Plantation,603154,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Agarbatti,603211,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Alcohol,603213,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Construction,603222,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Indigo,603238,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Mill,603247,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Plantation,603254,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Recreational Activties,603257,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Stone Quarries,603261,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Chemical,603418,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Insurance,603439,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,Law,603441,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Alcohol,601213,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Farm and farming products,602230,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Bakery,601215,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Stone Quarries,602261,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Farm and farming products,601230,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Food Preservation,601232,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Plantation,602454,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Brush,603217,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Food Preservation,603232,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Matches,603243,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Construction,602222,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Law,602441,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Wood,602467,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Glass,601234,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Matches,602243,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Stone Quarries,601261,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Confectionary,601221,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Gas,601233,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Petroleum/Natural Gas,601253,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Entertainment,601428,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Insurance,601439,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Plantation,601454,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,Wood,601467,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Brush,602217,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Entertainment,602228,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Plantation,602254,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,Insurance,602439,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Entertainment,603228,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Bone crushing,601216,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Non edible oil/fat,601249,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Wood,601267,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Salt,601259,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Construction,601222,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Brush,601217,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,Linoleum and Indoleum,603242,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Matches,601243,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Plantation,601254,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,Linoleum and Indoleum,602242,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Entertainment,601228,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Mill,601247,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,Recreational Activties,601257,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,All firms,All sectors,All sectors,600010,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,All sectors,All sectors,601010,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,All sectors,All sectors,602010,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,All sectors,All sectors,603010,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Manufacturing,All sectors,601210,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Services,All sectors,601410,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Agriculture,All sectors,602110,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Manufacturing,All sectors,602210,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Services,All sectors,602410,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Trading,All sectors,602510,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Agriculture,All sectors,603110,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Manufacturing,All sectors,603210,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Others,All sectors,603310,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Services,All sectors,603410,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Small,Trading,All sectors,603510,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Agriculture,All sectors,601110,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Medium,Others,All sectors,602310,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Others,All sectors,601310,,Total number of employees for whom the EPF was paid
Formal employment,Total number of employees,Large,Trading,All sectors,601510,,Total number of employees for whom the EPF was paid
Formal employment,Total PF paying firms,Large,Manufacturing,Chemical,611218,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Paper products,611252,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Tobacco products,611264,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Consultation Services,611423,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Engineering,611427,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Agriculture,Farm and farming products,612130,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Agro-processing,612212,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Chemical,612218,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Clay/Ceramic products,612219,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Confectionary,612221,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Mining,612248,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Textile,612263,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Tobacco products,612264,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Construction,612422,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Consultation Services,612423,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Education,612425,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Electric Power Industry,612426,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Engineering,612427,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Financial Services,612431,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Housekeeping Services,612436,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Recreational Activties,612457,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Transport Services,612465,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Trading,Commercial Establishment,612520,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Agriculture,Farm and farming products,613130,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Agro-processing,613212,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Chemical,613218,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Clay/Ceramic products,613219,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Engineering,613227,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Gas,613233,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Non edible oil/fat,613249,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Painting,613251,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Paper products,613252,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Textile,613263,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Tobacco products,613264,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Others,Others,613350,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Automobile,613414,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Construction,613422,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Consultation Services,613423,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Education,613425,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Electric Power Industry,613426,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Engineering,613427,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,F&B,613429,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Financial Services,613431,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Hospitality,613435,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Housekeeping Services,613436,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Media,613444,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Medical,613445,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Petroleum/Natural Gas,613453,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Recreational Activties,613457,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Transport Services,613465,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Trading,Commercial Establishment,613520,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Agriculture,Farm and farming products,611130,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Agriculture,Plantation,611154,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Agro-processing,611212,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Engineering,611227,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Metal and ores,611246,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Plastics,611255,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Tanning,611262,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Textile,611263,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Automobile,611414,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Construction,611422,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Electric Power Industry,611426,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Hospitality,611435,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Medical,611445,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Printing,611456,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Bone crushing,612216,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Engineering,612227,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Gas,612233,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Metal and ores,612246,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Non edible oil/fat,612249,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Painting,612251,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Paper products,612252,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Plastics,612255,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Rubber products,612258,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Salt,612259,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Tanning,612262,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Others,Others,612350,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Automobile,612414,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,F&B,612429,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Hospitality,612435,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,IT,612440,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Media,612444,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Medical,612445,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Petroleum/Natural Gas,612453,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Printing,612456,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Bakery,613215,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Bone crushing,613216,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Confectionary,613221,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Farm and farming products,613230,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Glass,613234,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Icecream,613237,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Metal and ores,613246,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Mining,613248,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Petroleum/Natural Gas,613253,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Plastics,613255,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Rubber products,613258,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Salt,613259,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Starch,613260,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Tanning,613262,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Water,613266,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Wood,613267,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Delivery Services,613424,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Entertainment,613428,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,IT,613440,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Plantation,613454,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Printing,613456,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Wood,613467,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Agarbatti,611211,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Clay/Ceramic products,611219,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Icecream,611237,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Mining,611248,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Painting,611251,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Rubber products,611258,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Starch,611260,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Water,611266,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Others,Others,611350,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Chemical,611418,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Delivery Services,611424,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Education,611425,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,F&B,611429,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Financial Services,611431,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Housekeeping Services,611436,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,IT,611440,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Media,611444,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Petroleum/Natural Gas,611453,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Recreational Activties,611457,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Transport Services,611465,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Trading,Commercial Establishment,611520,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Agriculture,Plantation,612154,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Agarbatti,612211,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Alcohol,612213,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Bakery,612215,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Food Preservation,612232,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Glass,612234,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Icecream,612237,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Indigo,612238,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Mill,612247,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Petroleum/Natural Gas,612253,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Recreational Activties,612257,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Starch,612260,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Water,612266,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Wood,612267,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Chemical,612418,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Delivery Services,612424,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Entertainment,612428,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Agriculture,Plantation,613154,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Agarbatti,613211,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Alcohol,613213,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Construction,613222,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Indigo,613238,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Mill,613247,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Plantation,613254,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Recreational Activties,613257,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Stone Quarries,613261,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Chemical,613418,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Insurance,613439,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Services,Law,613441,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Alcohol,611213,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Farm and farming products,612230,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Bakery,611215,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Stone Quarries,612261,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Farm and farming products,611230,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Food Preservation,611232,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Plantation,612454,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Brush,613217,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Food Preservation,613232,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Matches,613243,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Construction,612222,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Law,612441,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Wood,612467,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Glass,611234,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Matches,612243,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Stone Quarries,611261,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Confectionary,611221,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Gas,611233,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Petroleum/Natural Gas,611253,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Entertainment,611428,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Insurance,611439,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Plantation,611454,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Services,Wood,611467,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Brush,612217,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Entertainment,612228,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Manufacturing,Plantation,612254,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Medium,Services,Insurance,612439,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Entertainment,613228,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Bone crushing,611216,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Non edible oil/fat,611249,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Wood,611267,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Salt,611259,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Construction,611222,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Large,Manufacturing,Brush,611217,,Total number of firms who paid the EPF dues for given month
Formal employment,Total PF paying firms,Small,Manufacturing,Linoleum and Indoleum,613242,,Total number of firms who paid the EPF dues for given month
